Method Name;CCM;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
com.example.examplefeature.exportpdf.PdfExportService.loadUnicodeBaseFont();1;1;0.75;4;1;7.6818;950.9629;0.0322;27;24;123.794;10;0.0;0;63.4593;2;2;7;0;0
com.example.examplefeature.exportpdf.PdfExportService.safe(String);1;0;0.0;0;0;2.6667;59.8902;0.0051;8;7;22.4588;3;0.0;0;80.0992;0;2;1;0;1
com.example.examplefeature.exportpdf.PdfExportService.td(String, Font, int, Color);1;0;0.4;5;2;8.8;1082.267;0.0351;28;21;122.9849;9;0.0;0;64.4822;0;2;6;0;4
com.example.examplefeature.exportpdf.PdfExportService.th(String, Font, Color, int);0;0;0.4;5;2;8.125;813.1354;0.029;24;18;100.0782;9;0.0;0;65.1802;0;1;6;0;4
com.example.examplefeature.exportpdf.PdfExportService.Decorations.Decorations(Font, byte[]);0;0;0.0;0;0;1.5;33.6883;0.0035;8;7;22.4588;4;1.0;0;77.467;0;1;4;0;2
com.example.examplefeature.exportpdf.PdfExportService.Decorations.onCloseDocument(PdfWriter, Document);0;0;1.0;3;1;4.0;228.4413;0.0125;15;14;57.1103;5;0.6667;0;72.458;0;1;4;0;2
com.example.examplefeature.exportpdf.PdfExportService.Decorations.onEndPage(PdfWriter, Document);3;2;0.5;10;1;18.1818;6764.9073;0.1192;69;42;372.0699;23;0.75;0;52.1099;2;4;14;0;2
com.example.examplefeature.exportpdf.PdfExportService.Decorations.onOpenDocument(PdfWriter, Document);0;0;1.0;2;0;2.0;48.0;0.0044;8;8;24.0;4;1.0;0;77.2024;0;1;2;0;2
com.example.examplefeature.exporttxt.TaskTextController.TaskTextController(TaskService);0;0;0.0;0;0;1.0;8.0;0.0013;4;4;8.0;3;1.0;0;83.2686;0;1;2;0;1
com.example.examplefeature.exporttxt.TaskTextController.taskTxt(Long, HttpServletResponse);2;0;0.6429;14;4;15.75;6700.5524;0.1185;75;51;425.4319;17;0.3333;0;54.6073;0;3;10;0;2
com.example.examplefeature.ui.TaskListView.TaskListView(TaskService, String);3;1;0.5882;49;9;56.5495;123530.7898;0.8268;301;153;2184.4737;103;0.3158;0;32.5628;3;3;40;0;2
com.example.examplefeature.ui.TaskListView.createTask();0;0;1.0;8;2;6.25;547.3027;0.0223;21;18;87.5684;8;0.6667;0;66.7195;0;1;6;0;0
com.example.examplefeature.ui.TaskListView.headerOr(HttpServletRequest, String, String);2;0;1.0;2;0;4.9;245.9284;0.0131;14;12;50.1895;4;0.0;0;74.8227;0;3;4;0;3
com.example.examplefeature.ui.TaskListView.resolveBaseUrl();7;1;0.4615;12;0;23.8095;9995.0169;0.1547;76;46;419.7907;19;1.0;0;53.4648;1;8;10;0;0
com.example.qr.QRCodeService.asStream(String, int);0;0;0.0;0;0;2.5;49.1287;0.0045;7;7;19.6515;3;0.0;0;80.6382;0;1;2;0;2
com.example.qr.QRCodeService.toPng(String, int);3;0;0.8889;9;5;13.1818;3909.4301;0.0827;55;42;296.5775;18;0.0;0;55.1271;1;4;15;0;2
com.example.qr.QrView.QrView();0;0;0.6667;18;0;20.625;8999.9538;0.1442;79;46;436.3614;20;1.0;0;53.1377;1;1;9;0;0
